scenario_id,scenario_text,teacher_vulnerability_type,teacher_severity,teacher_confidence,difficulty_level
idor_medium_7499,在 HTTP 響應中發現 橫向越權 相關的 unauthorized access 模式,idor,0.7,0.85,medium
ssrf_hard_3313,通過分析請求參數與響應差異，識別出 文件協議 漏洞，關鍵指標為 169.254.169.254,ssrf,0.8,0.75,hard
sql_injection_medium_2425,在 HTTP 響應中發現 時間延遲 相關的 SLEEP( 模式,sql_injection,0.85,0.85,medium
rce_medium_7780,在 HTTP 響應中發現 命令注入 相關的 OGNL 模式,rce,0.95,0.85,medium
sql_injection_medium_1824,在 HTTP 響應中發現 時間延遲 相關的 mysql_fetch 模式,sql_injection,0.85,0.85,medium
graphql_introspection_medium_3721,在 HTTP 響應中發現 API 偵查 相關的 introspection 模式,graphql_introspection,0.6,0.85,medium
real_84_8136,e 的屬性，應視為攻擊進行中。 ## 5. 深度剖析：Atlassian Confluence (OGNL Injection) CVE 編號: CVE-2022-26134 風險等級: Critic,rce,0.95,0.8,medium
xss_hard_6838,通過分析請求參數與響應差異，識別出 DOM 操作 漏洞，關鍵指標為 document.cookie,xss,0.75,0.75,hard
ssrf_medium_4561,在 HTTP 響應中發現 雲端元數據 相關的 metadata 模式,ssrf,0.8,0.85,medium
idor_hard_6684,通過分析請求參數與響應差異，識別出 直接對象引用 漏洞，關鍵指標為 account=,idor,0.7,0.75,hard
idor_medium_8681,在 HTTP 響應中發現 直接對象引用 相關的 unauthorized access 模式,idor,0.7,0.85,medium
idor_hard_2204,通過分析請求參數與響應差異，識別出 橫向越權 漏洞，關鍵指標為 account=,idor,0.7,0.75,hard
jwt_attack_hard_2293,通過分析請求參數與響應差異，識別出 令牌偽造 漏洞，關鍵指標為 JWT,jwt_attack,0.8,0.75,hard
real_27_9161,research/citrix-bleed-leaking-session-tokens-with-cve-2023-4966</u>](https://www.assetnote.io/resour,jwt_attack,0.8,0.8,medium
xss_medium_9739,在 HTTP 響應中發現 事件處理器 相關的 onerror= 模式,xss,0.75,0.85,medium
graphql_introspection_medium_4416,在 HTTP 響應中發現 Schema 暴露 相關的 __type 模式,graphql_introspection,0.6,0.85,medium
jwt_attack_medium_2407,在 HTTP 響應中發現 算法混淆 相關的 token 模式,jwt_attack,0.8,0.85,medium
jwt_attack_easy_9264,檢測到 簽名繞過 特徵：eyJ,jwt_attack,0.8,0.95,easy
ssrf_medium_5199,在 HTTP 響應中發現 文件協議 相關的 169.254.169.254 模式,ssrf,0.8,0.85,medium
xss_medium_7079,在 HTTP 響應中發現 DOM 操作 相關的 javascript: 模式,xss,0.75,0.85,medium
ssrf_medium_4338,在 HTTP 響應中發現 內部服務 相關的 169.254.169.254 模式,ssrf,0.8,0.85,medium
graphql_introspection_medium_8686,在 HTTP 響應中發現 內省查詢 相關的 __schema 模式,graphql_introspection,0.6,0.85,medium
sql_injection_hard_9963,通過分析請求參數與響應差異，識別出 數據庫錯誤訊息 漏洞，關鍵指標為 syntax error,sql_injection,0.85,0.75,hard
sql_injection_hard_8943,通過分析請求參數與響應差異，識別出 UNION 查詢 漏洞，關鍵指標為 UNION SELECT,sql_injection,0.85,0.75,hard
idor_medium_5408,在 HTTP 響應中發現 權限繞過 相關的 unauthorized access 模式,idor,0.7,0.85,medium
idor_easy_4421,檢測到 橫向越權 特徵：object reference,idor,0.7,0.95,easy
idor_medium_9279,在 HTTP 響應中發現 直接對象引用 相關的 unauthorized access 模式,idor,0.7,0.85,medium
idor_hard_8587,通過分析請求參數與響應差異，識別出 直接對象引用 漏洞，關鍵指標為 unauthorized access,idor,0.7,0.75,hard
sql_injection_medium_9343,在 HTTP 響應中發現 UNION 查詢 相關的 mysql_fetch 模式,sql_injection,0.85,0.85,medium
sql_injection_medium_9882,在 HTTP 響應中發現 UNION 查詢 相關的 UNION SELECT 模式,sql_injection,0.85,0.85,medium
jwt_attack_easy_7931,檢測到 簽名繞過 特徵：token,jwt_attack,0.8,0.95,easy
