"FilePath","FileName","Extension","Encoding","Size"
"C:\D\fold7\AIVA-git\.pre-commit-config.yaml",".pre-commit-config.yaml",".yaml","UTF-8 (含中文)","1655"
"C:\D\fold7\AIVA-git\aiva_connectivity_report_20251031_221633.json","aiva_connectivity_report_20251031_221633.json",".json","UTF-8 (含中文)","1753"
"C:\D\fold7\AIVA-git\check_schema_fix.py","check_schema_fix.py",".py","UTF-8 (含中文)","2029"
"C:\D\fold7\AIVA-git\COMPLEX_TYPE_INFERENCE_REPAIR_REPORT.md","COMPLEX_TYPE_INFERENCE_REPAIR_REPORT.md",".md","UTF-8 (含中文)","4645"
"C:\D\fold7\AIVA-git\debug_output.json","debug_output.json",".json","UTF-8 或 ASCII","859"
"C:\D\fold7\AIVA-git\fix_forward_refs.py","fix_forward_refs.py",".py","UTF-8 (含中文)","972"
"C:\D\fold7\AIVA-git\FORWARD_REFERENCE_GUIDE_VALIDATION_COMPLETE.md","FORWARD_REFERENCE_GUIDE_VALIDATION_COMPLETE.md",".md","UTF-8 (含中文)","5674"
"C:\D\fold7\AIVA-git\FORWARD_REFERENCE_REPAIR_COMPLETION_REPORT.md","FORWARD_REFERENCE_REPAIR_COMPLETION_REPORT.md",".md","UTF-8 (含中文)","6827"
"C:\D\fold7\AIVA-git\ML_DEPENDENCY_STATUS_REPORT.md","ML_DEPENDENCY_STATUS_REPORT.md",".md","UTF-8 (含中文)","6700"
"C:\D\fold7\AIVA-git\MODULE_README_DIRECTORY_CHECK_REPORT.md","MODULE_README_DIRECTORY_CHECK_REPORT.md",".md","UTF-8 (含中文)","7076"
"C:\D\fold7\AIVA-git\PLUGIN_INVENTORY_INTEGRATION_REPORT.md","PLUGIN_INVENTORY_INTEGRATION_REPORT.md",".md","UTF-8 (含中文)","6363"
"C:\D\fold7\AIVA-git\pyrightconfig.json","pyrightconfig.json",".json","UTF-8 (含中文)","2785"
"C:\D\fold7\AIVA-git\README_UPDATE_REPORT.md","README_UPDATE_REPORT.md",".md","UTF-8 (含中文)","4561"
"C:\D\fold7\AIVA-git\README.md","README.md",".md","UTF-8 (含中文)","23628"
"C:\D\fold7\AIVA-git\requirements.txt","requirements.txt",".txt","UTF-8 或 ASCII","2426"
"C:\D\fold7\AIVA-git\start_ui_auto.ps1","start_ui_auto.ps1",".ps1","UTF-8 (含中文)","619"
